file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
ride__0036_GraphHopper-Track.gpx,ride,Erfurt → Weimar,,20.8,,r-b6e033ad5e9746fb8440679b9d063e04,,,,,,,,
ride__0037_GraphHopper-Track.gpx,ride,Milan → Bergamo,,61.4,,r-1cf7d440c17648f69d4912cf13bbf240,,,,,,,,
ride__0038_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Kyiv,,545.7,,r-5009e05b6eae4d0ea2f8153022bff829,,,,,,,,
ride__0039_GraphHopper-Track.gpx,ride,Донецька міська громада (loop),,13.5,,r-58f5fdb8c6364a70bb2387ce016c6886,,,,,,,,
ride__0040_GraphHopper-Track.gpx,ride,Kyiv → Окнянська селищна громада,,400.5,,r-83a51aaa943740df95f6f57c8dec6d12,,,,,,,,
ride__0041_GraphHopper-Track.gpx,ride,Chișinău → Дубовский сельский совет,,60.6,,r-ed835749c1fc44b4ab7bbad548d6b4aa,,,,,,,,
ride__0042_GraphHopper-Track.gpx,ride,Barcelona → Madrid,2012-08-02,614.7,,r-0fbc0be78a9b452496504999da4b692a,,,,,,,,
ride__0043_GraphHopper-Track.gpx,ride,Kyiv → Dymer Settlement Hromada,,50.8,,r-0b532bd3ebf84e5ca8a4fc4567455080,,,,,,,,
ride__0044_GraphHopper-Track.gpx,ride,Odesa → Визирська сільська громада,,60.5,,r-f3ead1c6c5c440958c7ff86ae3f25f94,,,,,,,,
ride__0045_GraphHopper-Track.gpx,ride,Baku → Khazar Raion,,259.9,,r-8a27ec7fbe0f4935afd5e2484e20f75e,,,,,,,,
ride__0046_GraphHopper-Track.gpx,ride,Kyiv → Pirnove Rural Hromada,,49.4,,r-1fedebddf52e4b64a49d6ca6d2a951ee,,,,,,,,
ride__0047_GraphHopper-Track.gpx,ride,Seville → Madrid,,1082.3,,r-8aecdb70d7a34f3fa6b9249ea08face9,,,,,,,,
ride__0048_GraphHopper-Track.gpx,ride,Svaliava Urban Hromada → Vyshkovo Settlement Hromada,,164.7,,r-a3a77760835543d19cd132c660476a50,,,,,,,,
ride__0049_GraphHopper-Track.gpx,ride,Ivano-Frankivsk Urban Hromada → Polianytsia Rural Hromada,,103.1,,r-589e9ef95c96481a93ececad89957634,,,,,,,,
ride__0050_GraphHopper-Track.gpx,ride,Dromolaxia - Meneou Municipality → Agios Athanasios Municipality,,63.5,,r-2852bf2b43144a3a9174771f13fa489d,,,,,,,,
ride__0051_GraphHopper-Track.gpx,ride,Athens airport,2016-06-28,34.2,,r-3594511ac9ae48558a86af5fcd5e312a,,,,,,,,
ride__0052_GraphHopper-Track.gpx,ride,Batumi → Keda Municipality,,132.4,,r-ad76142ccba447748c3fab78685a0d9a,,,,,,,,
ride__0053_GraphHopper-Track.gpx,ride,Astana → Celïnograd District,,76.5,,r-a3d217410f1e42dfa58e3921103422cd,,,,,,,,
ride__0054_GraphHopper-Track.gpx,ride,Odesa (loop),,11.2,,r-96ece354a6e64eddab682c13528e2266,,,,,,,,
ride__0055_GraphHopper-Track.gpx,ride,Prague (loop),,15.5,,r-eed958580d24416a87e65035b3116040,,,,,,,,
ride__0056_GraphHopper-Track.gpx,ride,Tillé → Paris,,91.8,,r-ee235ea531664c1bab90f1a04c85e239,,,,,,,,
ride__0057_GraphHopper-Track.gpx,ride,Bologna (loop),,9.2,,r-b42808b310cb4e64a791e449fe660ed7,,,,,,,,
ride__0058_GraphHopper-Track.gpx,ride,Hong Kong (loop),,59.4,,r-1013f66ba6ef4ee785f53b3e300c7ce5,,,,,,,,
ride__0059_GraphHopper-Track.gpx,ride,Hong Kong (loop),,119.6,,r-bc63345ef1d84eb2901cb7e49317c961,,,,,,,,
ride__0060_GraphHopper-Track.gpx,ride,Pompei → Ercolano,,24.8,,r-9b4d6f3fd7c841939aaefffabecc1725,,,,,,,,
ride__0061_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Skole Urban Hromada,,154.0,,r-76247a4110994cae9fd8b8e011aa7edf,,,,,,,,
ride__0062_GraphHopper-Track.gpx,ride,Otopeni → Bucharest,,22.5,,r-8bd60cc1438e4821afd661ce112f5d23,,,,,,,,
ride__0063_GraphHopper-Track.gpx,ride,Larnaca → Pissouri,,102.8,,r-66c7dbf3c55449f88f20d3974efff2af,,,,,,,,
ride__0064_GraphHopper-Track.gpx,ride,Larnaca → Ayia Napa,,51.0,,r-19b4d4e1d19e4f48abe902eb32e18648,,,,,,,,
ride__0065_GraphHopper-Track.gpx,ride,Tallinn (loop),,9.0,,r-13d7966e4a0b4870922767576d2e5015,,,,,,,,
